,Y,Text
9130,DESC:def,What does laser stand for ?     
9131,HUM:ind,Who taught Matt Murdock to use his extraordinary abilities in 
9132,LOC:other,Where did Wile E. Coyote always get his devices ? 
9133,NUM:dist,How far away is the moon ?    
9134,HUM:ind,What famous film and TV cowboy lent his name to 
9135,DESC:def,What is mandibulofacial dysostosis ?      
9136,DESC:reason,What was the reason for the partition of the Anglican 
9137,DESC:def,What is Butterfield 8 in Butterfield 8 ?   
9138,HUM:ind,Who famously rode to warn the people of Massachusetts that 
9139,ABBR:exp,What is DTMF ?       
9140,ENTY:cremat,"Name a movie that the actress , Sandra Bullock , "
9141,ENTY:other,"What blew up at Lakehurst , New Jersey , on "
9142,HUM:ind,Who commanded the French forces at the Battle of Orleans 
9143,LOC:other,Where can an individual get a contact lens tested that 
9144,LOC:country,What countries does the Mont Blanc Tunnel join ?  
9145,ENTY:veh,What ill-fated craft was captained by Ernst Lehmann ?  
9146,NUM:date,When did Amtrak begin operations ?     
9147,NUM:count,How many bones are in the human hand ?  
9148,NUM:count,How many chemical elements are there ?    
9149,LOC:state,What eastern state sprouted the first commercial nuclear power plant 
9150,LOC:country,What are the three most populated countries in the world 
9151,HUM:ind,Who led the opposition when Konrad Adenauer was Chancellor in 
9152,NUM:count,What is the current population for these countries : France 
9153,NUM:period,What is the youngest age a boy or girl can 
9154,ENTY:color,What color is the lipstick on Boy George 's wax 
9155,DESC:desc,What is the origin of the candy cane at Christmas 
9156,ENTY:product,What is the brand name of a chemical used to 
9157,ENTY:animal,What terror of the sea did Johnny Horton sing about 
9158,LOC:other,What is the largest office block in the world ? 
9159,HUM:ind,Who turned all he touched to gold ?   
9160,ENTY:dismed,What is the medical term for cancer of the blood 
9161,HUM:ind,Who plays shortstop for Charlie Brown 's baseball team ? 
9162,LOC:country,What country did the Romans call Hibernia ?   
9163,HUM:ind,Who was the most famous food editor of The New 
9164,NUM:count,How many dogs pull a sled in the Iditarod ? 
9165,ENTY:termeq,What 's a male witch called ?    
9166,NUM:period,How long does cocaine stay in your system ?  
9167,LOC:country,What two countries fought the Hundred Years ' War ? 
9168,HUM:ind,Who was the last U.S. president to reinstate Selective Service 
9169,NUM:date,On which dates does the running of the bulls occur 
9170,HUM:ind,What was the name of the lawyer who represented Randy 
9171,DESC:desc,What happens to used motor oil ?    
9172,ENTY:word,What is the most commonly used 1 letter word in 
9173,HUM:ind,What actress 's autobiography is titled Shelley : Also Known 
9174,NUM:count,How many colors was the 1940s collectible called a Donald 
9175,DESC:manner,How did the 7th inning stretch get started ?  
9176,HUM:ind,Who lived on the shores of the Gitchee Gumee River 
9177,ENTY:other,What did Tristan come back as ?    
9178,LOC:country,What country will hit the year 2 first ?  
9179,ENTY:color,What colors make up a rainbow ?    
9180,ENTY:event,What war did Johnny Reb and Billy Yank fight ? 
9181,HUM:ind,Who is section manager for guidance and control systems at 
9182,HUM:ind,What is Goldfinger 's first name ?    
9183,LOC:other,What square is the geographical center of London ?  
9184,HUM:ind,Which of the following famous people does not paint as 
9185,LOC:city,What is the most populated city in the world ? 
9186,NUM:count,How many pitchers occupy the shelf beside the crouching woman 
9187,NUM:money,What is the cost of the drugs used in tuberculosis 
9188,ABBR:exp,What does JESSICA mean ?      
9189,ENTY:event,What famed gangland slaughter cut into the membership of Bugs 
9190,ENTY:instru,Ray Charles is best known for playing what instrument ? 
9191,LOC:other,Where did Victor Hugo spend his exile ?   
9192,DESC:desc,"What was Nine Tailors , the television show from 1974 "
9193,DESC:manner,How does the Elongated Man know a mystery is afoot 
9194,ENTY:food,What food of the three bears did Goldilocks eat ? 
9195,DESC:def,What is Boston Kreme ?      
9196,HUM:ind,Who should I call to get a tour of the 
9197,NUM:count,How many airline schools are there in the U.S. ? 
9198,HUM:ind,"What U.S. general died December 1 , 1945 , when "
9199,DESC:def,What is a swatch ?      
9200,DESC:def,What does Ouija mean ?      
9201,NUM:count,How many major Nazi leaders went on trial after the 
9202,ENTY:animal,What kind of fish is a coney ?   
9203,LOC:state,What state did Helen Keller call home ?   
9204,HUM:ind,What was the name of the director of the movie 
9205,DESC:desc,What steps can be taken to prevent diabetes ?  
9206,DESC:desc,What were the first words spoken on a film sound 
9207,NUM:date,What year is etched on the Gold Medal of Excellence 
9208,LOC:country,What country 's royal house is Bourbon-Parma ?   
9209,ENTY:cremat,What film was Jude Law in ?    
9210,HUM:ind,Who portrayed W.C. Fields in the film W.C. Fields and 
9211,ENTY:other,What were the ceremony traditions like during the Elizabethian times 
9212,HUM:gr,Which college did Dikembe Mutombo play basketball at ?  
9213,ENTY:dismed,What is a fear of going to bed ?  
9214,DESC:desc,Where did the saying `` rule of thumb '' come 
9215,DESC:reason,Why does sound travel quicker through water than air ? 
9216,NUM:money,How much money does the Sultan of Brunei have ? 
9217,LOC:country,What country would you visit to ski in the Dolomites 
9218,NUM:date,What month 's third weekend is the Monterey Jazz Festival 
9219,DESC:def,What is the `` Global Economy '' ?   
9220,HUM:ind,Who built the first successful stern wheel steamboat ?  
9221,DESC:def,What is a caul ?      
9222,HUM:ind,Who was Hitler 's minister of propaganda ?   
9223,HUM:ind,Who was the first doctor to successfully transplant a liver 
9224,DESC:def,What does the theory of quantum leaps mean in simpler 
9225,DESC:def,What is a bone marrow transplant ?    
9226,DESC:desc,What is the difference between a classical and an acoustic 
9227,LOC:city,What African capital is named for a U.S. president ? 
9228,ENTY:lang,What is the name of a language spoken by the 
9229,LOC:other,What Mediterranean island is home to the first Club Med 
9230,ENTY:other,What does an edentulous smile lack ?    
9231,ENTY:dismed,What is a fear of jealousy ?    
9232,LOC:other,Where can you find the Venus flytrap ?   
9233,ENTY:cremat,What is the largest sculpture in the world ?  
9234,NUM:date,When was John D. Rockefeller born ?    
9235,LOC:other,What building built in 18 contains 327 miles of book 
9236,DESC:def,What is home banking ?      
9237,ENTY:cremat,What William Makepeace Thackeray novel was made into a film 
9238,HUM:ind,Who was the lawyer for Randy Steven Craft ?  
9239,DESC:manner,How do hermit crabs reproduce ?     
9240,HUM:ind,Who is reputed to be the greatest maker of violins 
9241,DESC:manner,How do you stop junk snail mail ?   
9242,HUM:ind,What future Soviet dictator was training to be a priest 
9243,NUM:period,How long does James Bond like his eggs boiled ? 
9244,LOC:city,What U.S. city 's skyline boasts the Gateway Arch ? 
9245,LOC:other,Where is Belize located ?      
9246,ENTY:termeq,What 's the common name for a Japanese dwarf tree 
9247,ENTY:cremat,What did Thomas Paine write ?     
9248,HUM:ind,Who sued the Dannon yougurt company for using a character 
9249,HUM:ind,Who was the first jockey to ride two Triple Crown 
9250,ENTY:cremat,What Lewis Carroll book introduced Humpty Dumpty to the world 
9251,HUM:ind,Who wrote Brave New World ?     
9252,LOC:state,What state does Charles Robb represent ?    
9253,DESC:def,What is hydroelectricity ?       
9254,NUM:count,How many people are taller than 7 feet ?  
9255,HUM:ind,Who wrote Unsafe at Any Speed ?    
9256,NUM:count,How many islands make up Antigua ?    
9257,DESC:manner,How does an abacus work ?     
9258,DESC:reason,What causes rust ?       
9259,ENTY:dismed,What is the fear of the computer called ?  
9260,ENTY:techmeth,What is a technique popularly used to detect birth defects 
9261,LOC:state,"What U.S. state boasts Stone Mountain , the world 's "
9262,HUM:ind,What British commander surrendered to George Washington at Yorktown in 
9263,DESC:desc,"What according to the Kinsey Institute , is the sexual "
9264,HUM:ind,"Who created the World Wide Web , WWW ?  "
9265,ENTY:techmeth,What is the procedure called for drilling a hole in 
9266,HUM:ind,What is the name of the president of Garmat U.S.A 
9267,ENTY:cremat,"What was the name of the television show , starring "
9268,HUM:ind,Who were leaders of the Byzantine empire ?   
9269,HUM:ind,Who was the first President to appoint a woman to 
9270,DESC:def,What is splatterpunk ?       
9271,DESC:desc,What is the orgin of xoxoxox ?    
9272,HUM:gr,Who built the first pyramid ?     
9273,LOC:country,What southeast Asian country has the Wang River joining the 
9274,LOC:city,"What Italian city of 155 were Leonardo da Vinci , "
9275,ENTY:color,What color tennis balls are used at Wimbledon ?  
9276,ENTY:termeq,What is a 2-sided object called ?    
9277,HUM:gr,Name a French fascist party .     
9278,ENTY:event,Name the French historical period during the reign of Napoleon 
9279,ENTY:cremat,What movie has made the most money ?   
9280,DESC:def,What is time ?       
9281,NUM:count,How many states have a lottery ?    
9282,LOC:city,What is the name of the largest city in Chile 
9283,ENTY:other,What are you caught in if a haboob blows up 
9284,NUM:perc,What ratio of children of ages between two and eleven 
9285,NUM:count,How many cities are there in Utah ?   
9286,HUM:gr,What famous meat company went out of business because it 
9287,NUM:count,How many visitors go to the Vatican each year ? 
9288,NUM:other,What is the population of Mexico ?    
9289,DESC:manner,How do you get silly putty out of fabric ? 
9290,LOC:other,What is the best online games site ?   
9291,DESC:reason,Why is the word `` abbreviation '' so long ? 
9292,NUM:date,What century did art 's Romantic Period begin in ? 
9293,NUM:count,How many spaces follow a period at the end of 
9294,DESC:def,What is a cake of soap ?    
9295,NUM:date,In what year was the Berlin Wall erected ?  
9296,NUM:weight,What is the weight of a teaspoon of matter in 
9297,NUM:weight,What is the approximate weight of a teaspoon of matter 
9298,ABBR:exp,What does MSG stand for ?     
9299,LOC:other,On what avenue is the original Saks department store located 
9300,LOC:other,Where does the song Anything Goes take place ?  
9301,LOC:other,Where was the first zoo in the U.S. ?  
9302,NUM:dist,How far is Yaroslavl from Moscow ?    
9303,ENTY:other,What is April 's gemstone ?     
9304,HUM:ind,What is the present Pope named ?    
9305,HUM:ind,Who is the nebbish that is Marvel 's official mascot 
9306,ENTY:food,What powdered soft drink mix went into space ?  
9307,ENTY:other,What did the Chinese emperor present to the English soldier 
9308,ENTY:lang,What is one of the languages spoken by the Sioux 
9309,NUM:count,How many bytes are in a terabyte ?   
9310,HUM:ind,Who sang the song `` Hooked on a Feeling '' 
9311,ENTY:techmeth,In what ways did Ivan IV support Russian expansion ? 
9312,NUM:weight,Approximately how much does a teaspoon of matter weigh in 
9313,LOC:country,What country 's flag is field green ?   
9314,ENTY:sport,What sport is known for hooligans ?    
9315,HUM:ind,Who was the Columbia Pictures head who forged actor Cliff 
9316,HUM:desc,Who was Damocles ?       
9317,ENTY:sport,What sport was the first televised in the U.S. ? 
9318,HUM:ind,Name Dondi 's adoptive grandfather .     
9319,NUM:date,When was the Congress of Vienna ?    
9320,DESC:desc,What are the lyrics to `` Smelly Cat '' ? 
9321,NUM:count,How much folic acid should a pregnant woman get each 
9322,NUM:date,What year was the first automobile manufactured ?   
9323,NUM:count,How many colonies did Germany get to keep after World 
9324,NUM:count,How many states have a `` lemon law '' for 
9325,HUM:ind,Whose biography by Maurice Zolotow is titled Shooting Star ? 
9326,ENTY:event,What concerts are held in New York this week ? 
9327,HUM:ind,In the movie Groundshog Day what is the name of 
9328,DESC:desc,What are the requirements for becoming a citizen of Australia 
9329,NUM:period,How old is Benny Carter ?     
9330,HUM:gr,What are the top ten all-time money making NFL teams 
9331,ENTY:other,What were hairy bank notes in the fur trade ? 
9332,LOC:other,Where can I read about Chiang Kai-shek ?   
9333,DESC:def,What is idealab ! ?      
9334,LOC:country,What country borders the most others ?    
9335,ABBR:exp,What does the E stand for in the equation E=mc2 
9336,LOC:other,"What river runs through Colorado , Kansas , and Oklahoma "
9337,ENTY:veh,Which airplane did Fawaz Younis hijack ?    
9338,DESC:def,What is Win Rah ?      
9339,DESC:reason,Why is the moon different sizes and colors ?  
9340,HUM:gr,"What college enlivens Hanover , New Hampshire ?   "
9341,ABBR:exp,What does VCR stand for ?     
9342,DESC:manner,How close a cousin was Franklin D. to Theodore Roosevelt 
9343,ENTY:cremat,Name a novel written by John Steinbeck .   
9344,HUM:ind,Who was the first American citizen awarded the Albert Medal 
9345,HUM:ind,What doctor is synonymous with footwear and foot care ? 
9346,DESC:manner,How do boats float ?      
9347,NUM:other,"What are the shoe sizes of O 'Neal , Jordan "
9348,HUM:ind,Who founded the Unification Church ?     
9349,NUM:count,How many zeros are there in a trillion ?  
9350,ENTY:event,What was the name of the Crimean meeting of Roosevelt 
9351,HUM:title,What are the only players eligible to score points in 
9352,NUM:other,What are the statistics for drunken drivers in Maryland ? 
9353,HUM:ind,What ill-fated American general dragged a bull terrier named Willie 
9354,NUM:other,What 's the score of a forfeited baseball game ? 
9355,LOC:other,Where does tuberculosis come from ?     
9356,HUM:ind,Who invented the lawnmower ?      
9357,LOC:other,Where can I find lyrics for R&B ?   
9358,ENTY:animal,What is the name of David Letterman 's dog ? 
9359,HUM:ind,What U.S. senator once played basketball for the New York 
9360,ENTY:sport,What are the titles of some R-Rated Sony Playstation games 
9361,ENTY:symbol,What playing card symbolizes death ?     
9362,DESC:def,What is an urban legend ?     
9363,HUM:ind,What is Li 'l Abner 's last name ?  
9364,NUM:count,How many liberty bells have there been ?   
9365,LOC:country,What two countries are separated by the Bering Strait ? 
9366,DESC:def,What is Smartnet ?       
9367,ENTY:termeq,What is a synonym for aspartame ?    
9368,LOC:country,Jackson Pollock is of what nationality ?    
9369,DESC:def,"What are vermicilli , rigati , zitoni , and tubetti "
9370,ENTY:product,Name the product that is `` at your grocer 's 
9371,HUM:ind,What architect originated the glass house designed the Chicago Federal 
9372,NUM:count,How many Russians have landed on the moon ?  
9373,ENTY:food,Which thrilled taste buds first - Snickers or 3 Musketeers 
9374,ENTY:animal,What animal do buffalo wings come from ?   
9375,DESC:reason,What is the purpose of the SysRq key on my 
9376,NUM:date,When was Franklin D. Roosevelt stricken with polio ?  
9377,DESC:manner,How do you find out what is allowed to claim 
9378,DESC:manner,How do you build a solar car for a high 
9379,LOC:other,Where on the Internet can I get chemicals importers ? 
9380,LOC:country,What was the first country to put a second woman 
9381,ENTY:other,What was the 24-disc John Gabel Entertainer the first example 
9382,DESC:def,What is the feudal system ?     
9383,HUM:ind,Who shared a New York City apartment with Roger Maris 
9384,ENTY:termeq,What 's the geographic term for the submerged fringe of 
9385,LOC:other,"What prison is found in Ossining , New York ? "
9386,LOC:country,What country has declared one-fifth of its territory off-limits to 
9387,DESC:desc,What is the main application of sodium hydrosulfite ?  
9388,ENTY:cremat,Name the story by Chris Van Allsburg in the which 
9389,ENTY:other,What are the components of polyester ?    
9390,ENTY:product,What product features a frog that says `` dig 'em 
9391,HUM:ind,Who is the director of intergovernmental affairs for the San 
9392,HUM:ind,What Hall of Fame pitcher started three World Series Games 
9393,LOC:other,What is the longest river in the United States ? 
9394,ABBR:exp,What does the channel ESPN stand for ?   
9395,LOC:other,What river is Windsor Castle on ?    
9396,ENTY:product,What is the best brand for a laptop computer ? 
9397,LOC:other,"Where is Natchitoches , Louisiana ?     "
9398,DESC:def,What do pointed letters mean to a handwriting analyst ? 
9399,HUM:gr,What political party is Sinn Fein a part of ? 
9400,ENTY:event,What was Franklin Roosevelt 's program for economic recovery called 
9401,HUM:ind,What is the name of a Greek god ?  
9402,LOC:city,What 's the capital of Taiwan ?    
9403,ENTY:other,What did Englishman John Hawkins begin selling to New World 
9404,NUM:money,What is the starting salary for beginning lawyers ?  
9405,HUM:ind,What was the man 's name who was killed in 
9406,ENTY:other,What did Louis Cartier invent for aviator Santos Dumont in 
9407,NUM:money,What will the California gas tax be in the year 
9408,LOC:city,What city is served by Tempelhol Airport ?   
9409,HUM:ind,Who directed the first Woody Woodpecker cartoon ?   
9410,ABBR:exp,CNN is an acronym for what ?    
9411,DESC:desc,What is the origin of the name Igor ?  
9412,ENTY:cremat,What was the first Gilbert and Sullivan opera ?  
9413,HUM:ind,"What two historical figures , who fought each other in "
9414,LOC:other,Where in the United States do people live the longest 
9415,LOC:country,What country in 1998 had the most suicides regardless of 
9416,NUM:money,What is the price for tuberculosis drugs ?   
9417,NUM:money,What was the first minimum wage ?    
9418,DESC:desc,What is the difference between a college and a university 
9419,ENTY:substance,What substance did Joseph Priestley name for its ability to 
9420,DESC:desc,What are the limits to `` self-defense ? ''  
9421,DESC:manner,How can I get my product licensed by the NBA 
9422,ENTY:food,What fast food is prepared with a `` secret blend 
9423,DESC:desc,What effect does a prism have on light ?  
9424,NUM:count,How many people lived in Nebraska in the mid 1900s 
9425,DESC:def,What is software piracy ?      
9426,NUM:date,What year was Janet Jackson 's first album released ? 
9427,DESC:manner,How do you calculate the change in enthalpy of a 
9428,HUM:ind,Name of heroine in `` Scruples '' ?   
9429,NUM:count,How many movies has Drew Barrymore been in ?  
9430,HUM:ind,What TV character sired a horse named Thunder ?  
9431,DESC:desc,What are some children 's rights ?    
9432,LOC:other,What is the name of the planet that the Ewoks 
9433,HUM:ind,What baseball player was known as Charley Hustle ?  
9434,HUM:ind,Who killed Lee Harvey Oswald ?     
9435,ENTY:symbol,What 's the symbol for the zodiacal sign Gemini ? 
9436,HUM:desc,Who was Red Grange ?      
9437,HUM:gr,What hockey team did Wayne Gretzky play for ?  
9438,ENTY:event,What series of trials followed World War II ?  
9439,HUM:gr,What Ivy League school plays its home games at Palmer 
9440,HUM:ind,Who invented the fax machine ?     
9441,NUM:dist,How wide is the Atlantic Ocean ?    
9442,DESC:manner,How is the element strontium purified ?    
9443,ENTY:termeq,What was the eighth day following the Nones in each 
9444,HUM:ind,Who wrote the poem that starts `` I love your 
9445,HUM:ind,What singer 's theme song was When the Moon Comes 
9446,DESC:manner,How did Peabody and Sherman travel through time ?  
9447,HUM:desc,Who was Santos-Dumont ?       
9448,NUM:count,How many meters are in a mile ?   
9449,ENTY:dismed,What is a fear of money ?    
9450,NUM:count,About how many soldiers died in World War II ? 
9451,HUM:ind,Who is Rocky 's and Bullwinkle 's ever-lost friend ? 
9452,HUM:desc,Who is Robin Williams ?      
9453,HUM:ind,Who thought he 'd never see a poem lovely as 
9454,HUM:ind,Who created `` The Muppets '' ?    
9455,DESC:manner,How do you make dumplings ?     
9456,LOC:other,"What celestial body has a diameter of 864 , 000 "
9457,ENTY:termeq,The operating system that runs on IBM-compatible machines is called 
9458,HUM:gr,What was the Ventura County police department that seized the 
9459,ENTY:animal,What is the name of the Family Circus 's dog 
9460,ENTY:other,What did Martin Luther post on the church door at 
9461,DESC:def,What is the meaning of the name Kathryn ?  
9462,HUM:ind,Name one of the major gods of Hinduism .  
9463,LOC:country,What country borders Denmark to the south ?   
9464,DESC:desc,What should you do for an ankle sprain ?  
9465,ENTY:other,"What dropped 1 , 313 feet in 1980 ?  "
9466,ENTY:dismed,What is the name of the vaccine for chicken pox 
9467,HUM:ind,What two US biochemists won the Nobel Prize in medicine 
9468,HUM:gr,What record company was formed by Herb Alpert and Jerry 
9469,LOC:other,Where do you find the answers for all these questions 
9470,DESC:def,What is thermal equilibrium ?      
9471,ENTY:termeq,"What is a term for behavior , appearance , or "
9472,HUM:gr,What fast-food magnate 's initials graced the left sleeve of 
9473,DESC:desc,What is the origin of the typing practice sentence `` 
9474,NUM:count,How many neurons are in the human brain ?  
9475,ENTY:dismed,What is a fear of reptiles ?    
9476,ENTY:cremat,What does Knight Ridder publish ?     
9477,LOC:city,What city is . KDGE Radio located in ?  
9478,ENTY:other,What can one see in Reims ?    
9479,DESC:manner,How is an executioner determined ?     
9480,LOC:city,What city was Bobby Kennedy assassinated in ?   
9481,ENTY:other,What 's the highest possible bid in Contract Bridge ? 
9482,DESC:def,What is the medical condition of hypertension ?   
9483,LOC:other,What London museum features a Chamber of Horrors ?  
9484,LOC:city,What city is served by McCarren Airport ?   
9485,NUM:count,How many lakes are there on the Earth ?  
9486,DESC:def,What is Doegs ?       
9487,HUM:ind,Who else was considered for the role of Luke Skywalker 
9488,NUM:period,How long does a fly live ?    
9489,ENTY:religion,What two major world religions began in India ?  
9490,NUM:weight,How many pounds are there in a stone ?  
9491,ENTY:dismed,What kind of poisoning is known as plumbism ?  
9492,ENTY:other,What is the greatest source of `` white '' magic 
9493,DESC:manner,How do I find if my relatives were on the 
9494,NUM:other,What amount of folic acid should an expectant mother take 
9495,DESC:manner,How do you select wine ?     
9496,HUM:ind,Who was the king who signed the Magna Carta ? 
9497,NUM:count,"How many miles is it from Frankfurt , Germany to "
9498,NUM:count,How many chairs are shown in Vincent Van Gogh 's 
9499,ENTY:dismed,What is a fear of stings ?    
9500,ENTY:cremat,Jude Law was in what movie ?    
9501,LOC:state,What state on the Gulf of Mexico has its lowest 
9502,ENTY:veh,What was the name of Robert Fulton 's most famous 
9503,LOC:other,Where can I find a case on Americans with Disabilities 
9504,HUM:ind,Who is the leader of India ?    
9505,HUM:ind,Who is the prophet that is most connected to the 
9506,NUM:perc,What are the chances of pregnacy if the penis does 
9507,DESC:def,What is infomatics ?       
9508,DESC:reason,What is the purpose of BIOS ?    
9509,LOC:other,Where is the Keck telescope ?     
9510,ENTY:cremat,What is the name of the kids ' show from 
9511,LOC:other,"Where are the apartments in Saint John , New Brunswick "
9512,HUM:ind,Who wrote `` The Pit and the Pendulum '' ? 
9513,LOC:country,What country did the Mau Mau Uprising take place in 
9514,LOC:other,What are some good medical sites for information ?  
9515,ENTY:other,What does a resurrectionist steal ?     
9516,DESC:reason,Why did the Shea & Gould law firm leave Los 
9517,HUM:gr,What is the best art and design school in the 
9518,ENTY:food,What two vegetables are combined in succotash ?   
9519,HUM:ind,Who is the Incredible Hulk in reality ?   
9520,ABBR:exp,What does NASA stand for ?     
9521,ENTY:dismed,Which infectious disease kills the most people worldwide ?  
9522,NUM:date,What month did the Edmund Fitzgerald sink ?   
9523,HUM:gr,What manufacturers are there in Texas ?    
9524,HUM:ind,Who are the presidents of Mexico and Indonesia ?  
9525,HUM:ind,Who played Al Jolson in the Jolson Story ?  
9526,DESC:def,What is a pig in a poke ?   
9527,LOC:other,Where were the 196 Summer Olympics held ?   
9528,LOC:other,Where is Los Vegas ?      
9529,LOC:country,Name the country which Honecker lived in .   
9530,LOC:state,What U.S. state are the Finger Lakes in ?  
9531,DESC:def,What is a cullion ?      
9532,LOC:city,What are the ten safest American cities for pedestrians ? 
9533,HUM:ind,What TV detective did Craig Stevens play ?   
9534,DESC:reason,What are the most common causes of death in the 
9535,LOC:other,Where can I find a picture of a Blue Meanie 
9536,HUM:gr,What university fired Angela Davis ?     
9537,LOC:state,What U.S. state does the Continental Divide leave to enter 
9538,HUM:ind,In the past 8 years who have the MVP players 
9539,ENTY:other,"In AD 999 , what sort of celebrations , fears "
9540,HUM:ind,Who played Emperor Palpatine in Star Wars ?   
9541,LOC:other,What 's the name of the Wilkes plantation in Gone 
9542,DESC:reason,"Why is the universe flat , if it started by "
9543,LOC:other,Where is the Statistical Abstract of the United States online 
9544,DESC:def,What is barnstorming ?       
9545,ENTY:animal,What 's the dumbest domesticated animal ?    
9546,DESC:desc,What was the importance of Magellan ?    
9547,NUM:date,When was the Brandenburg Gate in Berlin built ?  
9548,DESC:manner,What do I have to do to get good grades 
9549,HUM:ind,"Whose husbands have included Conrad Hilton Jr. , and Michael "
9550,ABBR:abb,What does the number `` 5 '' stand for on 
9551,HUM:ind,Who is King in Alley Oop 's home of Moo 
9552,ENTY:food,What four tastes can a human distinguish ?   
9553,HUM:gr,What is `` the airline built for professional travelers '' 
9554,ENTY:veh,What two vessels fought the first sea battle between iron-covered 
9555,NUM:count,How much of the silver production is manufactured by independent 
9556,NUM:perc,What percentage of the silver production is done by independent 
9557,DESC:desc,What is the origin of the term `` buffalo wings 
9558,NUM:date,What date is Boxing Day ?     
9559,NUM:count,How many inches tall is Stuart Little at birth ? 
9560,ENTY:cremat,What 1953 film won Frank Sinatra a best supporting actor 
9561,NUM:count,How many Stradivarius violins were ever made ?   
9562,DESC:desc,What type of childhood did Jules Verne have ?  
9563,HUM:ind,Who invented the stock ticker in 1870 ?   
9564,DESC:def,What is a leper ?      
9565,LOC:other,What was Einstein 's birthplace ?     
9566,ENTY:other,What was George Washington afraid of ?    
9567,NUM:date,What century 's the setting for TV 's The Adventures 
9568,HUM:ind,Who wrote the Bible ?      
9569,ENTY:cremat,What are the top 5 fiction books of all time 
9570,DESC:def,What are the `` Star Wars '' satellites ?  
9571,HUM:desc,Who is Henry Butler ?      
9572,NUM:money,What debts did Qintex group leave ?    
9573,HUM:ind,"Which U.S. President is buried in Washington , D.C. ? "
9574,ENTY:termeq,What is the term for someone who hates mankind ? 
9575,ENTY:other,What did San Francisco 's Milt Harper grow that measured 
9576,HUM:gr,What college did Dikembe Mutombo play basketball for ?  
9577,LOC:other,Where are the Austerlitz and Victor Hugo subway stops ? 
9578,LOC:other,Where did Ty Cobb grow up ?    
9579,DESC:def,What is a philanthropist ?      
9580,DESC:def,What is a portal ?      
9581,ENTY:cremat,What Tom Wolfe book is about the Mercury astronauts ? 
9582,ENTY:food,What cooking oil has `` corn goodness '' ?  
9583,NUM:money,"What is the per-capita income of Colombia , South America "
9584,NUM:count,How many types of cheese are there in France ? 
9585,NUM:count,How many `` eyes '' does a coconut have ? 
9586,NUM:count,How many websites are there in the world ?  
9587,ENTY:termeq,What is the term that describes a word where only 
9588,HUM:gr,Who made the first airplane ?     
9589,ENTY:techmeth,What measures did Clinton take to avoid the draft ? 
9590,ENTY:termeq,What are `` darning needles '' and `` horse stingers 
9591,NUM:count,How many points is a disk in the center hole 
9592,DESC:manner,How do websites like Yahoo and Excite make money ? 
9593,LOC:other,What general direction does the journey in Around the World 
9594,DESC:manner,How do they produce vitamins ?     
9595,HUM:ind,"The lawyer who represented Randy Craft , what was his "
9596,ENTY:food,What do penguins eat ?      
9597,HUM:gr,What organization is the Security Council a part of ? 
9598,LOC:mount,What is New England 's highest mountain ?   
9599,ENTY:cremat,What TV station did Mary Richards work for ?  
9600,DESC:def,What does idle mean ?      
9601,DESC:reason,What was the claim to fame of the football game 
9602,DESC:def,What is a serigraph ?      
9603,ENTY:sport,What football bowl game 's first queen was Hallie Woods 
9604,HUM:ind,Who was the first black to be head coach of 
9605,HUM:desc,"Who is John Macarthur , 1767-1834 ?    "
9606,NUM:date,What year did the War of 1812 begin ?  
9607,ENTY:animal,What racehorse won an Associated Press poll as the greatest 
9608,DESC:desc,"What are the words to the cd Eminem 's , "
9609,ENTY:termeq,What does Final Four refer to in the sports world 
9610,HUM:desc,Who is Peter Weir ?      
9611,ENTY:cremat,What medium is Stuart Hamblen the first singing cowboy in 
9612,DESC:def,What is the meaning of `` subaru ? ''  
9613,NUM:count,How many verses are in the Bible ?   
9614,DESC:def,What is endometriosis ?       
9615,DESC:def,What is a geoscientist ?      
9616,HUM:ind,What robust U.S. President imported his own instructor after seeing 
9617,ENTY:food,What are all the different types of pizza ?  
9618,DESC:reason,From what cause does tuberculosis stem ?    
9619,LOC:country,In what nation is Edessa located nowadays ?   
9620,LOC:country,Name a country that is developing a magnetic levitation railway 
9621,ABBR:exp,What does BTU mean ?      
9622,HUM:gr,What government department did The Untouchables work for ?  
9623,ENTY:food,"What drink is made up of rum , coconut milk "
9624,DESC:def,What is the VDRL test of blood ?   
9625,NUM:code,What seven digits follow the area code in the number 
9626,HUM:ind,What was the player 's name who played nose tackle 
9627,LOC:other,Where is the largest dam in the world ?  
9628,HUM:ind,Who held the endurance record for women pilots in 1929 
9629,HUM:title,What did Andy Hardy 's father do for a living 
9630,NUM:perc,Independent silversmith 's account for what percentage of silver production 
9631,DESC:reason,Why is hockey so violent ?     
9632,LOC:other,In what part of the world is Mozambique ?  
9633,HUM:ind,Who are Woody Woodpecker 's niece and nephew ?  
9634,ENTY:cremat,What film opens with an assassin tumbling from the Seattle 
9635,HUM:ind,Who created Maudie Frickett ?      
9636,DESC:def,What is a leaky heart valve ?    
9637,DESC:manner,How can I give myself a French manicure ?  
9638,HUM:ind,Who was the first English circumnavigator of the globe ? 
9639,DESC:def,What is the definition of the Scrabble word ` syzygy 
9640,NUM:money,What is the salary of a U.S. Representative ?  
9641,HUM:gr,Who made the largest cocaine seizure in Ventura County history 
9642,LOC:other,What man-made waterways is 1.76 miles long ?   
9643,HUM:ind,Who liberated 19th century Sicily and Naples ?   
9644,LOC:other,On what river is Strasbourg built ?    
